GDP_Type,Guardium_Version,DataSource,DataSource_Version,VA_supported,Classification_supported,Notes,Download_URL,Readme_URL
GDP,GDP 11.5,Azure SQL,all versions,,,Classification via GDP.  SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GDP,GDP 11.5,Azure Synapse Analytics,all versions,,,SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GDP,GDP 11.5,MongoDB Atlas,4.2,,,,,
GDP,GDP 11.5,MongoDB Atlas,4.4,,,,,
GDP,GDP 11.5,MongoDB Atlas,5,,,,,
GDP,GDP 11.5,MongoDB Atlas,6,,,,,
GDP,GDP 11.5,Snowflake,All versions,,,,,
GDP,GDP 11.5,Azure MySQL,All versions,,,,,
GDP,GDP 11.5,Azure Database for PostgreSQL,All versions,,,,,
GDP,GDP 12.0,Azure SQL,all versions,,,Classification via GDP.  SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GDP,GDP 12.0,Azure Synapse Analytics,all versions,,,SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GDP,GDP 12.0,MongoDB Atlas,4.2,,,,,
GDP,GDP 12.0,MongoDB Atlas,4.4,,,,,
GDP,GDP 12.0,MongoDB Atlas,5,,,,,
GDP,GDP 12.0,MongoDB Atlas,6,,,,,
GDP,GDP 12.0,Snowflake,All versions,,,,,
GDP,GDP 12.0,Azure MySQL,All versions,,,,,
GDP,GDP 12.0,Azure MongoDB,All versions,,,,,
GDP,GDP 12.0,Azure Database for PostgreSQL,All versions,,,,,
GDP,GDP 12.1,Azure SQL,all versions,,,Classification via GDP.  SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GDP,GDP 12.1,Azure Synapse Analytics,all versions,,,SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GDP,GDP 12.1,MongoDB Atlas,4.2,,,,,
GDP,GDP 12.1,MongoDB Atlas,4.4,,,,,
GDP,GDP 12.1,MongoDB Atlas,5,,,,,
GDP,GDP 12.1,MongoDB Atlas,6,,,,,
GDP,GDP 12.1,Snowflake,All versions,,,,,
GDP,GDP 12.1,Azure MySQL,All versions,,,,,
GDP,GDP 12.1,Azure Database for PostgreSQL,All versions,,,,,
GDP,GDP 12.2,Azure SQL,all versions,,,Classification via GDP.  SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GDP,GDP 12.2,Azure Synapse Analytics,all versions,,,SSL-enabled encrypted connections are supported (including Force Protocol Encryption).,,
GDP,GDP 12.2,MongoDB Atlas,4.2,,,,,
GDP,GDP 12.2,MongoDB Atlas,4.4,,,,,
GDP,GDP 12.2,MongoDB Atlas,5,,,,,
GDP,GDP 12.2,MongoDB Atlas,6,,,,,
GDP,GDP 12.2,Snowflake,All versions,,,,,
GDP,GDP 12.2,Azure MySQL,All versions,,,,,
GDP,GDP 12.2,Azure Database for PostgreSQL,All versions,,,,,
